METRICS/TRANSCRIPTS                                    Trinity                  Trans-ABySS              Oases                    SOAPdenovo-Trans         IDBA-Tran                Bridger                  BinPacker                Shannon                  rnaSPAdes                SPAdes                   
 == ASSEMBLY SPECIFICITY == 
Unannotated                                            47498                    128019                   60426                    85681                    35089                    40608                    1173                     38169                    159251                   61658                    

50%-matched                                            58201                    117092                   140767                   61852                    48574                    44187                    21827                    81027                    60734                    47018                    
95%-matched                                            36579                    79703                    67696                    50736                    39613                    29804                    12271                    58664                    41312                    35929                    

Mean fraction of transcript matched                    0.473                    0.42                     0.561                    0.372                    0.508                    0.44                     0.805                    0.609                    0.249                    0.319                    

Mean fraction of block matched                         0.887                    0.886                    0.662                    0.895                    0.906                    0.825                    0.848                    0.898                    0.823                    0.88                     

50%-matched blocks                                     0.888                    0.886                    0.663                    0.891                    0.904                    0.826                    0.851                    0.898                    0.82                     0.88                     
95%-matched blocks                                     0.846                    0.845                    0.639                    0.854                    0.864                    0.786                    0.821                    0.867                    0.766                    0.84                     

Matched length                                         92013785                 102637058                256704294                49439268                 44449926                 60425565                 56556185                 95857263                 59006222                 42547766                 
Unmatched length                                       34029834                 46845018                 93474361                 27545660                 22852976                 29842233                 12684910                 26695013                 56571206                 30409751                 

